"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto"
"1145","null","112571","112571","terracotta","ostrakon","501","700"
"1146","null","112577","112577","terracotta","ostrakon","501","700"
"1147","null","112566","112566","terracotta","ostrakon","501","700"
"1148","null","112421","112421","terracotta","ostrakon","501","700"
"1153","null","65174","6416","papyrus","codex","601","650"
"1157","null","107888","107888","papyrus","horizontal roll","301","400"
"1158","null","382619","382619","parchment","codex","401","600"
"1160","null","108078","108078","papyrus","codex","501","600"
"1166","null","61817","2971","parchment","codex","401","600"
"1170","null","290110","290110","papyrus","single leaf","401","600"
"1172","null","702540","702540","stone","ostrakon","501","900"
"1178","null","107965","107965","papyrus","codex","301","400"
"1185","null","754108","754108","parchment","codex","501","600"
"1186","null","113254","113254","parchment","codex","401","500"
"1187","null","113253","113253","parchment","codex","401","500"
"1188","null","113257","113257","parchment","codex","451","500"
"1189","null","113252","113252","parchment","codex","401","500"
"1191","null","113256","113256","papyrus","codex","601","800"
"1207","null","112578","112578","terracotta","ostrakon","501","700"
"1219","null","107733","107733","papyrus","codex","301","350"
"1220","null","null","null","papyrus","codex","601","800"
"1221","null","null","null","parchment","codex","401","450"
"1222","null","107772","107772","parchment","codex","401","600"
"1223","null","null","null","papyrus","codex","301","400"
"1235","","108314","108314","stone","ostrakon","601","700"
"1371","null","107763","107763","papyrus","codex","301","400"
"1417","null","108694","108694","parchment","codex","601","800"
"1579","null","108499","108499","terracotta","ostrakon","601","800"
"1580","null","108513","108513","terracotta","ostrakon","601","800"
"1581","null","62216","3376","stone","ostrakon","501","700"
"1582","null","112546","112546","papyrus","codex","601","700"
"1583","null","108514","108514","terracotta","ostrakon","601","800"
"1584","null","108515","108515","stone","ostrakon","601","800"
"1585","null","108516","108516","terracotta","ostrakon","601","800"
"1586","null","108517","108517","terracotta","ostrakon","601","800"
"1587","null","108518","108518","terracotta","ostrakon","576","800"
"1588","null","108519","108519","terracotta","ostrakon","601","800"
"1589","null","108520","108520","terracotta","ostrakon","601","700"
"1590","null","108521","108521","stone","ostrakon","601","700"
"1591","null","108522","108522","stone","ostrakon","601","800"
"1592","null","108523","108523","terracotta","ostrakon","601","800"
"1593","null","108524","108524","terracotta","ostrakon","601","800"
"1594","null","108526","108526","terracotta","ostrakon","601","800"
"1595","null","108527","108527","terracotta","ostrakon","601","800"
"1596","null","108529","108529","terracotta","ostrakon","601","800"
"1597","null","112417","112417","terracotta","ostrakon","601","800"
"1598","null","112531","112531","terracotta","ostrakon","401","600"
"1599","null","112533","112533","stone","ostrakon","601","800"
"1600","null","112534","112534","terracotta","ostrakon","501","700"
"1601","null","112535","112535","terracotta","ostrakon","501","700"
"1602","null","112537","112537","terracotta","ostrakon","501","700"
"1603","null","112536","112536","terracotta","ostrakon","501","700"
"1604","null","112538","112538","stone","ostrakon","501","700"
"1611","null","112539","12539","terracotta","ostrakon","501","700"
"1612","null","112540","112540","terracotta","ostrakon","501","700"
"1613","null","112541","112541","terracotta","ostrakon","501","700"
"1614","null","112543","112543","terracotta","ostrakon","501","700"
"1615","null","112544","112544","terracotta","ostrakon","501","700"
"1616","null","112545","null","terracotta","ostrakon","501","700"
"1617","null","112561","112561","terracotta","ostrakon","501","700"
"1618","null","112564","112564","stone","ostrakon","501","700"
"1619","null","112567","112567","terracotta","ostrakon","501","700"
"1620","null","112569","112569","terracotta","ostrakon","501","700"
"1621","null","112707","112707","terracotta","ostrakon","601","800"
"1622","null","108849","108849","terracotta","ostrakon","601","900"
"1623","null","108525","108525","terracotta","ostrakon","601","800"
"1629","null","107795","107795","papyrus","codex","301","425"
"1700","null","112657","112657","parchment","single leaf","501","700"
"1701","null","111688","111688","parchment","single leaf","401","900"
"1702","null","91442","null","parchment","single leaf","301","500"
"1704","null","91418","91418","parchment","single leaf","401","500"
"1747","null","107875","107875","papyrus","codex","301","400"
"1784","null","107777","107777","parchment","vertical roll","401","600"
"1785","null","101251","101251","parchment","vertical roll","476","600"
"1869","null","108130","108130","parchment","vertical roll","501","600"
"2207","null","107979","107979","papyrus","codex","301","500"
"2249","null","107948","107948","parchment","codex","501","600"
"2310","null","107779","107779","papyrus","codex","301","400"
"2321","null","108259","108259","parchment","codex","501","600"
"2401","null","108437","108437","parchment","codex","501","800"
"2651","null","62320","3483","papyrus","codex","551","600"
"2672","null","107894","107894","parchment","codex","501","700"
"2695","null","65434","6681","parchment","single leaf","701","900"
"2853","null","244013","244013","papyrus","codex","401","500"
"2882","null","108214","108214","papyrus","codex","401","700"
"2883","null","63050","4246","papyrus","codex","501","600"
"3355","null","100023","100023","papyrus","codex","501","700"
"3470","null","108498","108498","papyrus","codex","601","800"
"3472","null","700766","700766","papyrus","codex","601","750"
"3473","null","700744","700744","terracotta","ostrakon","601","750"
"3474","null","700745","700745","terracotta","ostrakon","601","750"
"3475","null","700746","700746","terracotta","ostrakon","601","750"
"3476","null","700747","700747","terracotta","ostrakon","601","750"
"3477","null","700748","700748","terracotta","ostrakon","601","750"
"3478","null","700749","700749","terracotta","ostrakon","601","750"
"3479","null","700750","700750","terracotta","ostrakon","601","750"
"3480","null","700751","700751","terracotta","ostrakon","601","750"
"3481","null","700752","700752","terracotta","ostrakon","601","750"
"3482","null","700753","700753","terracotta","ostrakon","601","750"
"3483","null","700754","700754","terracotta","ostrakon","601","750"
"3484","null","700755","700755","terracotta","ostrakon","601","750"
"3485","null","111237","111327","terracotta","ostrakon","601","800"
"3486","null","111701","111701","stone","ostrakon","601","800"
"3487","null","111813","111813","stone","ostrakon","601","800"
"3488","null","129947","129947","terracotta","ostrakon","501","900"
"3490","null","111238","111238","terracotta","ostrakon","601","800"
"3491","null","112565","null","terracotta","ostrakon","501","800"
"3492","null","112532","112532","terracotta","ostrakon","501","700"
"3493","null","645711","645711","stone","ostrakon","501","650"
"3494","null","645710","645710","stone","ostrakon","501","650"
"3495","null","62143","3303","stone","ostrakon","601","800"
"3496","null","82910","82910","stone","ostrakon","590","786"
"3497","null","107930","107930","papyrus","codex","551","700"
"3498","null","108324","108324","papyrus","codex","551","700"
"3499","null","171917","171917","stone","ostrakon","501","800"
"3500","null","171916","171916","terracotta","ostrakon","501","800"
"3501","null","111812","111812","terracotta","ostrakon","401","800"
"3502","null","109213","109213","terracotta","ostrakon","501","700"
"3503","null","108183","108183","terracotta","ostrakon","501","700"
"3504","null","108064","108064","papyrus","codex","601","800"
"3506","null","108567","108567","papyrus","codex","551","600"
"3509","null","66750","4248","stone","ostrakon","601","900"
"3511","null","220331","220331","stone","ostrakon","701","750"
"3512","null","219981","219981","terracotta","ostrakon","701","750"
"3513","null","220296","null","stone","ostrakon","701","750"
"3514","null","62028","3187","stone","ostrakon","351","500"
"3515","null","62207","3367","terracotta","ostrakon","601","700"
"3516","null","82588","82588","stone","ostrakon","601","800"
"3517","null","82589","82589","stone","ostrakon","601","800"
"3518","null","82597","82597","stone","ostrakon","601","800"
