"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto","fullname","shelfmark","pp"
"62","GIOV.AR","108424","108424","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.17",""
"64","IERE.AA","107868","107868","parchment","codex","501","600","Ireland, Dublin, Chester Beatty Library, Cpt","813",""
"65","IERE.AB","107869","107869","parchment","codex","551","600","Ireland, Dublin, Chester Beatty Library, Cpt","814",""
"66","IERE.AC","107870","107870","parchment","codex","551","600","Ireland, Dublin, Chester Beatty Library, Cpt","815",""
"67","IERE.AD","107871","107871","parchment","codex","551","600","U.S.A., Ann Arbor (MI), University of Michigan Library, Ms.","166",""
"68","IERE.AE","107872","107872","parchment","codex","551","600","U.S.A., Ann Arbor (MI), University of Michigan Library, Ms.","167","null"
"173","MANI.AB","108112","108112","papyrus","codex","301","425","Germany, Berlin, Staatliche Museen, P.","15999.unconserv. block lost",""
"173","MANI.AB","108112","108112","papyrus","codex","301","425","Ireland, Dublin, Chester Beatty Library, Pma","D",""
"174","MANI.AC","108137","108137","papyrus","codex","301","425","Germany, Berlin, Staatliche Museen, P.","15995.1-31",""
"174","MANI.AC","108137","108137","papyrus","codex","301","425","Ireland, Dublin, Chester Beatty Library, Pma","B",""
"175","MANI.AD","107977","107977","papyrus","codex","301","425","Ireland, Dublin, Chester Beatty Library, Pma","C",""
"211","MICH.AK","61773","2925","parchment","codex","601","800","Germany, Freiburg, Universitätsbibliothek","615","ff. 1-5"
"211","MICH.AK","61773","2925","parchment","codex","601","800","U.S.A., New York (NY), The Morgan Library and Museum","M615","ff. (i) + 1-17 +17A + 18-37 + 37A + 38-62 + 62A + 63-82 + 82A + (83)"
"211","MICH.AK","61773","2925","parchment","codex","601","800","U.S.A., Ann Arbor (MI), University of Michigan Library, P.","4942","f. 1"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, Musée du Louvre, E","09997","(072-073)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.2.114","(036-037)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.2.127",""
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.5.120","(068-069)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.5.129","(056-057)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.5.130?",""
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.5.130","(129-130%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.5.130","(129-130%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","130.5.130","(129-130)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","131.5.069","(066-067)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","131.7.61","(078-079)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","132.1.33","(088-089)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","132.1.34","(119-120)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","132.1.45","(129-130%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","132.1.45","(129-130%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","132.3.256","(143-144%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","132.3.256",""
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.005A","(143-144%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.007","(127-128)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.007A","(086-087)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.007B","(147-148)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.007C","(143-144%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.007C","(143-144)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","France, Paris, BnF, Copte","133.1.007D","(129-130%)"
"273","MONB.AM","108123","108123","parchment","codex","501","700","Egypt, Cairo, IFAO, Copte","s.n.","null"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","Germany, Berlin, Staatliche Museen, P.","01862.1-2","(007-008)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","Germany, Berlin, Staatliche Museen, P.","01862.3-5","(011-013)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","Germany, Berlin, Staatliche Museen, P.","01862.6","(018-000)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","Germany, Berlin, Staatliche Museen, P.","01862.7-8","(021-022)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","France, Paris, BnF, Copte","135.12-15","(001-004)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","France, Paris, BnF, Copte","135.16-17","(005-006)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","France, Paris, BnF, Copte","135.18-19","(009-010)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","France, Paris, BnF, Copte","135.20-23","(014-017)"
"284","MONB.AX","108728","108728","papyrus","codex","301","400","France, Paris, BnF, Copte","135.24-25","(019-020)"
"287","MONB.BA","108394","108394","parchment","codex","601","800","United Kingdom, London, BL, Or.","8810.15-86","pp. 365-508"
"287","MONB.BA","108394","108394","parchment","codex","601","800","United Kingdom, London, BL, Or.","8810.87-88","pp. 511-514"
"287","MONB.BA","108394","108394","parchment","codex","601","800","United Kingdom, London, BL, Or.","8810.89-90","pp. 519-522"
"287","MONB.BA","108394","108394","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.1-4","pp. 49-56"
"287","MONB.BA","108394","108394","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.5","pp. 61-62"
"287","MONB.BA","108394","108394","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.6-7","pp. 115-118"
"287","MONB.BA","108394","108394","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.8-32","pp. 203-252"
"287","MONB.BA","108394","108394","parchment","codex","601","800","United Kingdom, Manchester, University of  Manchester Library - John Rylands Library, Crawford","24C",""
"287","MONB.BA","108394","108394","parchment","codex","601","800","United Kingdom, Manchester, University of  Manchester Library - John Rylands Library, Crawford","66",""
"287","MONB.BA","108394","108394","parchment","codex","601","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","965.1-3","pp. 125-130"
"287","MONB.BA","108394","108394","parchment","codex","601","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","965.4-6","pp. 135-140"
"288","MONB.BB","108395","108395","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.33-38","pp. 359-370"
"288","MONB.BB","108395","108395","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.39-40","pp. 699-702"
"288","MONB.BB","108395","108395","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.41","pp. 469-470"
"288","MONB.BB","108395","108395","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.42-46","pp. 553-562"
"288","MONB.BB","108395","108395","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.47-52","pp. 565-576"
"288","MONB.BB","108395","108395","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","6.53-59","pp. 581-594"
"288","MONB.BB","108395","108395","parchment","codex","601","800","The Netherlands, Leiden, Rijksmuseum van Oudheden","102","pp. 391-392"
"288","MONB.BB","108395","108395","parchment","codex","601","800","France, Paris, BnF, Copte","130.1.8-13","pp. 327-338"
"288","MONB.BB","108395","108395","parchment","codex","601","800","France, Paris, BnF, Copte","130.1.20","pp. 435-436"
"288","MONB.BB","108395","108395","parchment","codex","601","800","France, Paris, BnF, Copte","130.1.21","pp. 439-440"
"288","MONB.BB","108395","108395","parchment","codex","601","800","France, Paris, BnF, Copte","130.5.109-110",""
"288","MONB.BB","108395","108395","parchment","codex","601","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","9231","pp. 437-438"
"289","MONB.BC","108128","108128","parchment","codex","501","600","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","1.38-41",""
"289","MONB.BC","108128","108128","parchment","codex","501","600","France, Paris, BnF, Copte","129.12.4-6",""
"289","MONB.BC","108128","108128","parchment","codex","501","600","Egypt, Cairo, IFAO, Copte","239","null"
"292","MONB.BF ","108126","108126","parchment","codex","601","800","Egypt, Cairo, Coptic Museum","9256.1-2",""
"292","MONB.BF ","108126","108126","parchment","codex","601","800","Egypt, Cairo, Coptic Museum","390",""
"292","MONB.BF ","108126","108126","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","7.22-23","pp. 35-38"
"292","MONB.BF ","108126","108126","parchment","codex","601","800","U.S.A., Ann Arbor (MI), University of Michigan Library, Ms.","158.21",""
"292","MONB.BF ","108126","108126","parchment","codex","601","800","France, Paris, BnF, Copte","131.4.148","(pp. 45-46)"
"292","MONB.BF ","108126","108126","parchment","codex","601","800","France, Paris, BnF, Copte","131.8.117",""
"292","MONB.BF ","108126","108126","parchment","codex","601","800","France, Paris, BnF, Copte","131.8.130",""
"356","MONB.EC","null","null","parchment","codex","601","800","United Kingdom, London, BL, Or.","3581B.69","f. 216"
"356","MONB.EC","null","null","parchment","codex","601","800","United Kingdom, Oxford, Bodleian Library, Clarendon Press","B28","f. <84>"
"356","MONB.EC","null","null","parchment","codex","601","800","United Kingdom, Oxford, Bodleian Library, Clarendon Press","B46","f. 211"
"356","MONB.EC","null","null","parchment","codex","601","800","United Kingdom, Oxford, Bodleian Library, Clarendon Press","B47.1-3","ff. 79-81"
"356","MONB.EC","null","null","parchment","codex","601","800","United Kingdom, Oxford, Bodleian Library, Clarendon Press","B47.4-5",""
"356","MONB.EC","null","null","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","2.35","f. 175"
"356","MONB.EC","null","null","parchment","codex","601","800","United Kingdom, Manchester, University of  Manchester Library - John Rylands Library, Crawford","35","ff. 124-127"
"356","MONB.EC","null","null","parchment","codex","601","800","France, Paris, BnF, Copte","132.1.3","f. 85"
"356","MONB.EC","null","null","parchment","codex","601","800","France, Paris, BnF, Copte","132.4.319","pp. 173-174 (!)"
"424","MONB.HE","107887","107887","parchment","codex","401","600","United Kingdom, London, BL, Or.","3518","(118-149)"
"424","MONB.HE","107887","107887","parchment","codex","401","600","Germany, Berlin, Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Ms. or. oct.","408","(001-117)"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","2.26-27","pp. 517-520"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","2.28-30","pp. 525-530"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","2.31-33","pp. 535-540"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","2.34",""
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","2.36","pp. 289-290"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","17.63-66","pp. 293-300"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","17.67","pp. 303-304"
"627","MONB.YA","108371","108371","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","17.68-71","pp. 309-316"
