"Monastery site and location","Latitude N","Longitude E","DD- N","DD- E"
"St John the short Wadi el Natrun","30° 21' 44.20","30° 16' 50.75","30.362.278","30.280.764"
"St Makarous of Alexander - Wadi el Rayan - cave hermitage","29° 05' 14.00","30° 17' 24.00","29.087.222","30.29"
"St Mari Haraga bil Quran - Sohag","26° 13' 59.99","31° 52' 00.00","262.333.333","318.666.667"
"St Michael al Hamuli Fayum","29° 15' 14.22","30° 34' 40.06","2.925.395","30.577.794"
"St Michael E bank opposite Girga Nag al Dair","26° 20' 18.00","31° 56' 23.00","26.338.333","31.939.722"
"St Mina - Abyuna - Minya","27° 55' 59.99","30° 49' 0.00","279.333.333","308.166.667"
"St Paul - Anba  Bula Eastern desert","28° 50' 50.21","32° 33' 02.07","28.847.281","32.550.575"
"St Simeon - Anba Hatre Mag gami el Gezira - W bank Aswan","24° 05' 41.17","32° 52' 32.86","24.094.769","32.875.794"
"St Simon The Tanner - Deir Samaan al-Kharaz Cairo","30° 01' 50.14","31° 16' 35.18","30.030.594","31.276.439"
"Samweil (Samuel) - Al-Qalamun Wadi el rayan Fayoum","28° 54' 35.07","30° 30' 20.94","289.166.667","30.505.817"
"Ain Zif Kharga Oasis - Gebel al Tayr","25° 30' 07.00","30° 33' 27.00","25.501.944","305.575"
